start,end,orth,draft_ipa,eng,spn,notes,flags
583.808,585.02,ñàà kúu,ñàà kúu,what is,lo que es,,
585.824,587.364,ñà kúkúu ñàà,ñà kúkúu ñàà,,,,
587.576,591.452,yéè kúu-ñà tsíní ñú'u kúntoyo tsíka-tí rì ñàà,yɛ́ɛ̀ kúu ñà tsíní ñúʔu kúnt̪oyo tsíka t̪í rì ñàà,what it is is that it has to be far because,lo que hay es que tiene que estar lejos porque,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
592.1,593.54,tsà'ǎ ñà-ka túu-ñá-tí,tsàʔǎ ñà ka t̪úu ñá t̪í,because they sting us,porque nos pican,ñá?,"t->t̪ (tentative, verify)"
593.57,594.966,cha tsà'ǎ ñà-ka kúu-ñà,tʃa tsàʔǎ ñà ka kúu ñà,and that is why,y por eso es que,,
595.22,597.868,nkǔu kuntoyo yachi-tí ra tatù nchíì-kue-ní,nkǔu kunt̪oyo yatʃi t̪í ra t̪at̪ù ntʃíì kwɛ ní,they can't be near but if some of you,no pueden estar cerca si alguno de ustedes,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'w'; unmapped char: 'y'"
597.868,600.3,kúnì kúu ku'mí-tí ra tsíní ñú'u soo,kúnì kúu kuʔmí t̪í ra tsíní ñúʔu soo,wants to have them only has to,quiere tenerlos solo tiene que,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
600.404,602.248,koo iin ñà kúu ntasì nùǔ-kue-ní,koo iĩ ñà kúu nt̪asì nùǔ kwɛ ní,have something to cover your face,tener algo para taparse la cara,,"t->t̪ (tentative, verify); unmapped char: 'w'"
602.248,605.324,koo iin ñà kúu ntasì nta'á-kue-ní tavà mà kǔu tuu-tí rì,koo iĩ ñà kúu nt̪asì nt̪aʔá kwɛ ní t̪avà mà kǔu t̪uu t̪í rì,have something to cover your arms so they cannot sting you,algo para taparse los brazos para que no les puedan picar,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'w'"
605.798,606.298,mmm,mmm,,,,unmapped char: 'm'
606.364,608.801,yée-nùǔ ra ntúnche'e-tí tatù ná mà kǔtù'va-kó,yɛ́ɛ nùǔ ra nt̪úntʃɛʔɛ t̪í t̪at̪ù ná mà kǔt̪ùʔva kó,sometimes they get angry if you don't know,hay veces que se enojan si no sabes,it would be possible to say ná mà kǔtù'vǎ instead  // tú impersonal en mixteco es con =kó,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
608.817,610.512,ke'e-kó-tí ra ntúnche'e-tí ra kúu,kɛʔɛ kó t̪í ra nt̪úntʃɛʔɛ t̪í ra kúu,how to handle them (=bees) they get angry and they can,como tocarlas (=abejas) se enojan y pueden,,"t->t̪ (tentative, verify); unmapped char: 'r'"
610.53,612.089,kúu tuu... tuu-tí ra,kúu t̪uu... t̪uu t̪í ra,they can sting,pueden picar,,"t->t̪ (tentative, verify); unmapped char: 'r'"
612.357,613.366,ka'ní-tí yóó,kaʔní t̪í yóó,kill us,matarnos,yóó - independent first person plural inclusive pronoun,"t->t̪ (tentative, verify); unmapped char: 'y'"
613.763,614.277,mmm,mmm,,,,unmapped char: 'm'
618.34,620.781,Guillermo Martínez López,Guillɛrmo Mart̪ínɛz Lópɛz,Guillermo Martínez López,,,"t->t̪ (tentative, verify); unmapped char: 'G'; unmapped char: 'L'; unmapped char: 'M'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'r'; unmapped char: 'z'"
627.246,628.056,mm,mm,,,asintiendo,unmapped char: 'm'
679.84,680.308,mm,mm,,,asintiendo,unmapped char: 'm'
700.376,701.035,sí,sí,yes,,,
710.385,711.094,mm,mm,,,asintiendo,unmapped char: 'm'
724.635,725.399,mm,mm,,,asintiendo,unmapped char: 'm'
725.751,726.292,sí,sí,yes,,,
736.467,737.408,mm sí,mm sí,mmm yes,,,unmapped char: 'm'
747.28,747.885,aha,aha,,,asintiendo,unmapped char: 'h'
755.822,756.476,mm,mm,,,asintiendo,unmapped char: 'm'
776.567,778.617,este m....,ɛst̪ɛ m....,this...,,,"t->t̪ (tentative, verify); unmapped char: 'm'"
784.408,786.317,"sí, que salga mi nombre","sí, quɛ salga mi nombrɛ","yes, I want my name to appear",,,unmapped char: 'b'; unmapped char: 'g'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'q'; unmapped char: 'r'
788.689,789.203,mmm,mmm,,,asintiendo,unmapped char: 'm'
812.776,813.453,mm,mm,,,asintiendo,unmapped char: 'm'
